className,count
col-md-3 col-sm-4 hidden-xs pf-c-table__sort,279
col-lg-1 hidden-md hidden-sm hidden-xs pf-c-table__sort,187
col-md-3 hidden-sm hidden-xs pf-c-table__sort,188
col-md-3 col-sm-4 col-xs-6,898
co-m-resource-icon co-m-resource-secret,760
col-md-3 col-sm-4 col-xs-6 co-break-word,502
col-md-3 col-sm-4 hidden-xs co-break-word,898
col-lg-1 hidden-md hidden-sm hidden-xs,655
col-md-3 hidden-sm hidden-xs,582
col-lg-2 col-md-3 col-sm-4 col-xs-6 pf-c-table__sort pf-m-selected,11
col-lg-2 col-md-3 col-sm-4 col-xs-6 pf-c-table__sort,126
col-lg-2 col-md-3 col-sm-4 hidden-xs pf-c-table__sort,7
col-lg-2 col-md-3 hidden-sm hidden-xs pf-c-table__sort,122
col-lg-2 hidden-md hidden-sm hidden-xs pf-c-table__sort,285
col-lg-2 col-md-3 col-sm-4 col-xs-6,24
col-lg-2 col-md-3 col-sm-4 col-xs-6 co-break-word,465
col-lg-2 col-md-3 col-sm-4 hidden-xs,10
co-m-label-list,1675
col-lg-2 col-md-3 hidden-sm hidden-xs co-break-word,404
co-m-resource-icon co-m-resource-deployment,470
col-lg-2 hidden-md hidden-sm hidden-xs,665
col-lg-3 col-md-3 col-sm-4 col-xs-6 pf-c-table__sort pf-m-selected,26
col-lg-3 col-md-3 col-sm-4 hidden-xs pf-c-table__sort,25
col-lg-3 col-md-3 col-sm-4 col-xs-6,59
co-m-resource-icon co-m-resource-service,209
col-lg-3 col-md-3 col-sm-4 hidden-xs,57
co-text-service,144
co-m-label co-m-label--expand,1889
co-m-label__key,1888
co-m-label__eq,1860
co-m-label__value,1861
col-lg-2 col-md-3 hidden-sm hidden-xs,57
co-m-selector,565
co-truncate co-select-to-copy,74
col-lg-2 col-md-2 col-sm-4 col-xs-6 pf-c-table__sort pf-m-selected,19
col-lg-2 col-md-2 col-sm-4 hidden-xs pf-c-table__sort,156
col-lg-2 col-md-2 hidden-sm hidden-xs pf-c-table__sort,164
col-lg-2 col-md-2 col-sm-4 col-xs-6 pf-c-table__sort,23
col-lg-2 col-md-2 col-sm-4 col-xs-6,65
co-m-resource-icon co-m-resource-persistentvolume,12
col-lg-2 col-md-2 col-sm-4 hidden-xs,423
col-lg-2 col-md-2 hidden-sm hidden-xs,1096
co-m-resource-icon co-m-resource-persistentvolumeclaim,107
co-text-persistentvolume,12
col-sm-5 col-xs-6 pf-c-table__sort pf-m-selected,1
col-sm-5 col-xs-6 pf-c-table__sort,1
col-sm-2 hidden-xs pf-c-table__sort,86
hidden-sm,1
col-sm-5 col-xs-6 co-break-word,2
co-m-resource-icon co-m-resource-storageclass,51
small text-muted co-resource-item__help-text,1
col-sm-2 hidden-xs,359
pf-c-label,504
col-xs-6 col-sm-4 pf-c-table__sort pf-m-selected,49
col-xs-6 col-sm-4 pf-c-table__sort,49
col-sm-4 hidden-xs pf-c-table__sort,51
col-xs-6 col-sm-4,93
co-m-resource-icon co-m-resource-clustertask,16
col-xs-6 col-sm-4 co-break-word,93
col-sm-4 hidden-xs,99
monitoring-header-link,5
co-m-horizontal-nav__menu,3712
co-m-horizontal-nav__menu-item co-m-horizontal-nav-item--active,4402
co-m-horizontal-nav__menu-item,10046
row-filter__box,107
col-sm-7 col-xs-8 pf-c-table__sort pf-m-selected,2
col-sm-3 col-xs-4 pf-c-table__sort,2
col-sm-7 col-xs-8,5
co-m-resource-icon co-m-resource-alert,3
monitoring-description,5
col-sm-3 col-xs-4,3
text-muted monitoring-timestamp,5
col-sm-2 hidden-xs co-truncate,3
alert-firing,4
co-actions,3526
co-actions-menu pf-c-dropdown,3525
pf-c-button pf-m-link pf-m-link--align-right query-browser__toggle-graph,4
query-browser__wrapper graph-empty-state,1
pf-c-empty-state,2
pf-c-empty-state__icon,1
pf-c-title,1
query-browser__controls,4
query-browser__controls--left,4
query-browser__controls--right,4
pf-c-form__group pf-m-action pf-c-form pf-c-form__group--no-top-margin,1
pf-c-form__actions,2329
pf-c-button pf-m-secondary query-browser__inline-control,1
query-browser__table query-browser__table--expanded,1
query-browser__query-controls,1
pf-c-button pf-m-plain query-browser__expand-button,1
query-browser__expand-icon,1
query-browser__query pf-c-dropdown,1
pf-c-form-control query-browser__query-input,1
pf-c-button pf-m-plain query-browser__clear-icon,1
pf-c-switch,7
pf-c-switch__input,7
pf-c-switch__toggle,7
pf-c-switch__toggle-icon,1
dropdown-kebab-pf,595
col-md-4 col-sm-4 col-xs-8 pf-c-table__sort pf-m-selected,1
col-md-3 col-sm-4 col-xs-4 pf-c-table__sort,1
col-md-2 col-sm-4 hidden-xs pf-c-table__sort,1
col-md-4 col-sm-4 col-xs-8,6
co-m-resource-icon co-m-resource-node,157
col-md-3 col-sm-4 col-xs-4,6
col-md-2 col-sm-4 hidden-xs,6
co-m-resource-icon co-m-resource-machine,25
pf-m-hidden pf-m-visible-on-md pf-c-table__sort,3
pf-m-hidden pf-m-visible-on-xl pf-c-table__sort,280
co-break-word,4116
pf-m-hidden pf-m-visible-on-md,7
pf-m-hidden pf-m-visible-on-lg,828
pf-m-hidden pf-m-visible-on-xl,597
col-sm-4 col-xs-6 pf-c-table__sort pf-m-selected,61
col-sm-4 col-xs-6 pf-c-table__sort,61
col-sm-4 col-xs-6,263
co-m-resource-icon co-m-resource-machineset,7
col-sm-4 col-xs-6 co-break-word,261
col-lg-3 col-md-4 col-sm-6 hidden-xs pf-c-table__sort,2
col-lg-3 col-md-3 hidden-sm hidden-xs pf-c-table__sort,22
col-lg-2 col-md-2 col-sm-2 col-xs-6 pf-c-table__sort,2
co-m-resource-icon co-m-resource-machineconfig,26
col-lg-3 col-md-4 col-sm-6 hidden-xs co-break-word,12
col-lg-3 col-md-3 hidden-sm hidden-xs,58
col-lg-2 hidden-md hidden-sm hidden-xs co-break-word,408
col-lg-2 col-md-2 col-sm-2 col-xs-6,12
col-lg-4 col-xs-6 pf-c-table__sort pf-m-selected,1
col-lg-5 hidden-md hidden-sm hidden-xs pf-c-table__sort,1
col-lg-1 col-sm-2 col-xs-3,4
col-lg-1 col-sm-2 hidden-xs,3
col-lg-4 col-xs-6 co-break-word,2
co-m-resource-icon co-m-resource-machineconfigpool,4
col-lg-5 hidden-md hidden-sm hidden-xs co-break-word,2
col-lg-1 col-sm-2 col-xs-3 co-truncate,2
co-m-resource-icon co-m-resource-user,2
col-md-2 hidden-sm hidden-xs pf-c-table__sort,37
co-m-resource-icon co-m-resource-serviceaccount,222
col-md-2 hidden-sm hidden-xs,164
co-resource-item co-resource-item__resource-name,396
co-m-resource-icon co-m-resource-clusterrolebinding,380
co-m-resource-icon co-m-resource-clusterrole,708
col-xs-6 pf-c-table__sort pf-m-selected,33
col-xs-6 pf-c-table__sort,33
col-xs-6,644
col-xs-6 co-break-word,297
co-m-horizontal-nav,3790
co-m-pane__body-group,904
co-detail-table co-detail-table--lg,1
co-detail-table__row row,61
co-detail-table__section col-sm-4 col-md-3,1
co-m-pane__details,2195
co-detail-table__section-header,189
pf-c-button pf-m-link pf-m-inline,6783
co-icon-space-l pf-c-button-icon--plain,1602
co-detail-table__section col-sm-4 col-md-4,2
co-select-to-copy,1
co-break-all co-select-to-copy,642
co-m-resource-icon co-m-resource-clusterversion,3
co-icon-space-r,1026
co-section-heading,3624
co-table-container,372
table,183
pf-m-hidden pf-m-visible-on-lg pf-u-w-16-on-lg pf-c-table__sort,1
pf-m-hidden pf-m-visible-on-lg pf-u-w-16-on-lg,10
co-text-namespace,32
col-lg-3 col-md-4 col-sm-4 col-xs-6 pf-c-table__sort pf-m-selected,1
col-lg-3 col-md-4 col-sm-4 col-xs-6 pf-c-table__sort,1
col-lg-3 col-md-4 col-sm-4 col-xs-6,9
co-m-resource-icon co-m-resource-customresourcedefinition,153
col-lg-3 col-md-4 col-sm-4 col-xs-6 co-break-word,9
co-m-nav-title co-m-nav-title--detail co-m-nav-title--breadcrumbs,3386
pf-l-split,4558
pf-l-split__item pf-m-fill,4500
pf-c-breadcrumb,3666
pf-c-breadcrumb__list,3666
pf-c-breadcrumb__item,7546
pf-c-breadcrumb__link,3880
pf-c-breadcrumb__item-divider,3880
co-m-resource-icon co-m-resource-oauth co-m-resource-icon--lg,1
co-m-page__body co-m-config.openshift.io~v1~OAuth,1
pf-c-button pf-m-plain co-m-pane__details-popover-button,9060
co-m-pane__explanation co-m-pane__explanation--alt,1
co-m-pane__dropdown,1
odc-namespaced-page__content is-light,3
overview,1
overview__main-column,1
overview__main-column-section,1
co-m-pane,1
btn-group,258
co-m-pane__body co-m-pane__body--no-top-margin,1
pf-c-form,2055
pf-c-form co-m-pane__form,6
odc-form-section__heading,10
pf-c-form__group,128
pf-c-form__label,48
pf-c-form__label-text,48
pf-c-form__label-required,40
pf-c-expandable,34
pf-c-expandable__toggle,34
pf-c-expandable__toggle-icon,34
pf-c-expandable__content,34
pf-c-form__helper-text,11
dropdown pf-c-dropdown dropdown--full-width,93
btn-dropdown__item--placeholder,1
odc-builder-image-selector,1
pf-c-card odc-builder-image-card,11
pf-c-card__header pf-c-title pf-m-md,66
odc-builder-image-card__icon,11
pf-c-card__body,66
odc-builder-image-card__title,11
pf-l-split pf-m-gutter,59
pf-l-split__item odc-form-section__heading,1
pf-l-split__item,1121
pf-c-alert pf-m-inline pf-m-info,1
pf-c-alert__icon,65
pf-c-alert__title,65
pf-u-screen-reader,65
pf-c-form__group odc-radio-button,3
pf-c-radio,6
pf-c-radio__input,6
pf-c-radio__label,6
odc-radio-button__children,5
odc-resource-section__help-text,4
pf-c-check,7
pf-c-check__input,7
pf-c-check__label,7
co-m-btn-bar,149
pf-c-form__group pf-m-action pf-c-form,149
pf-c-button pf-m-secondary,3448
pf-c-form co-deploy-image,1
help-block,1308
co-catalog-page,1
co-catalog-page__tabs,1
vertical-tabs-pf restrict-tabs active-tab,1
vertical-tabs-pf-tab active shown text-capitalize co-catalog-tab__empty,1
vertical-tabs-pf-tab text-capitalize co-catalog-tab__empty,22
vertical-tabs-pf restrict-tabs,4
filter-panel-pf,1
filter-panel-pf-category,1
pf-c-form__fieldset checkbox filter-panel-pf-category-items,1
filter-panel-pf-category-title,1
filter-panel-pf-category-item,5
item-count,5
co-catalog-page__content,1
co-catalog-page__header,1
co-catalog-page__heading text-capitalize,1
co-catalog-page__filter,1
co-catalog-page__input pf-c-form-control,1
co-catalog-page__btn-group__group-by,1
co-catalog-page__num-items,1
pf-c-button pf-m-link,90
monaco-colors,2039
co-file-dropzone,2039
yaml-editor__header,876
yaml-editor__header-text,876
co-p-has-sidebar,2039
co-p-has-sidebar__body,2039
yaml-editor,2039
yaml-editor__links,2039
yaml-editor__link,3105
co-icon-space-r co-p-has-sidebar__sidebar-link-icon,3105
react-monaco-editor-container showUnused,2039
monaco-editor vs-dark focused,2039
overflow-guard,2039
margin,2039
glyph-margin,2039
margin-view-zones,2039
margin-view-overlays focused,2039
current-line,4078
line-numbers lh-odd,18714
monaco-scrollable-element editor-scrollable vs-dark,2039
lines-content monaco-editor-background,2039
view-overlays focused,2039
view-rulers,2039
view-zones,2039
view-lines,2039
view-line,18714
contentWidgets,2039
lightbulb-glyph,2039
cursors-layer cursor-line-style cursor-solid,2039
cursor,2039
invisible scrollbar horizontal,2549
slider,8154
decorationsOverviewRuler,2039
invisible scrollbar vertical,2190
inputarea,2039
overlayWidgets,2039
accessibilityHelpWidget,2039
minimap slider-mouseover,2039
minimap-shadow-hidden,511
minimap-slider,2039
minimap-slider-horizontal,2039
overflowingContentWidgets,2039
monaco-editor rename-box,2039
rename-input,2039
context-view monaco-builder-hidden,2039
yaml-editor__buttons,2039
pf-c-form__group pf-m-action pf-c-form__group--no-top-margin,2039
monaco-aria-container,2039
monaco-alert,2039
monaco-status,2039
pf-c-button pf-m-secondary co-alert-manager-config__edit-alert-routing-btn,1
col-sm-6,781
co-m-pane__filter-bar co-m-pane__filter-bar--alt,41
pf-c-alert pf-m-inline pf-m-info co-alert co-alert--scrollable,2
pf-c-alert__description,62
co-pre-line,8
col-lg-3 col-md-3 col-sm-6 col-xs-6 pf-c-table__sort pf-m-selected,1
col-lg-3 col-md-3 hidden-sm hidden-xs text-center,2
col-lg-6 col-md-6 col-sm-6 col-xs-6,2
col-lg-3 col-md-3 col-sm-6 col-xs-6,1
co-icon-space-r pf-c-button-icon--plain,1
co-m-resource-icon co-m-resource-horizontalpodautoscaler co-m-resource-icon--lg,17
co-m-page__body co-m-autoscaling~v2beta2~HorizontalPodAutoscaler,8
row co-m-table-grid__head,480
col-xs-4 col-sm-2 col-md-2,1632
hidden-xs hidden-sm col-md-2,816
col-xs-4 col-sm-3 col-md-2,816
hidden-xs col-sm-5 col-md-4,203
co-m-table-grid__body,480
hidden-xs col-sm-5 col-md-4 co-break-word co-pre-line,613
co-m-resource-icon co-m-resource-namespace co-m-resource-icon--lg,88
co-resource-item__resource-status hidden-xs,597
pf-c-badge pf-m-read co-resource-item__resource-status-badge,597
co-m-page__body co-m-Namespace,88
col-sm-6 col-xs-12,66
col-md-6 col-sm-12,160
graph-wrapper graph-wrapper__horizontal-bar,403
graph-title,403
text-secondary,85
cldr folding,5866
cigr,16398
mtk26,18008
mtk1,29077
mtk22,13677
invisible scrollbar horizontal fade,1377
invisible scrollbar vertical fade,1738
monaco-editor-hover hidden,4076
minimap-shadow-visible,1528
monaco-scrollable-element,2038
monaco-editor-hover-content,2038
shadow,4076
shadow top-left-corner,2038
pf-c-button pf-m-secondary pf-c-button--align-right hidden-sm hidden-xs,2038
co-p-has-sidebar__sidebar co-p-has-sidebar__sidebar--bordered hidden-sm hidden-xs,690
pf-c-button pf-m-plain co-p-has-sidebar__sidebar-close,690
co-p-has-sidebar__sidebar-heading text-capitalize,690
co-m-horizontal-nav__menu co-m-horizontal-nav__menu--within-sidebar,690
co-break-word co-pre-wrap,3931
Linkify,3931
co-resource-sidebar-list,690
co-resource-sidebar-item,3393
co-resource-sidebar-item__header co-break-word,3393
mtk16,355
co-m-resource-icon co-m-resource-secret co-m-resource-icon--lg,688
co-action-buttons,683
pf-c-button pf-m-primary co-action-buttons__btn,683
co-m-page__body co-m-Secret,688
pf-c-button pf-m-link pf-m-link--align-right,381
secret-data,368
co-copy-to-clipboard,1165
co-pre-wrap co-copy-to-clipboard__text,1165
pf-c-button pf-m-plain co-copy-to-clipboard__btn pf-c-clipboard-copy__group-copy,1165
mtk9,118
co-m-page__body co-m-HorizontalPodAutoscaler,9
co-timestamp,156
col-xs-3,281
small text-muted,3
co-m-resource-icon co-m-resource-deployment co-m-resource-icon--lg,330
co-m-page__body co-m-Deployment,330
co-m-pane__heading co-m-pane__heading--center,188
co-m-resource-icon co-m-resource-service co-m-resource-icon--lg,139
co-m-page__body co-m-Service,139
service-ips,102
row co-ip-header,101
rows,101
co-ip-row,116
ip-name,51
ip-desc,51
col-xs-3 co-text-service,130
col-xs-3 co-text-pod,65
co-m-resource-icon co-m-resource-pod,658
co-m-pane__body co-m-pane__form,74
co-m-pane__heading co-m-pane__heading--baseline,71
co-m-pane__name,71
co-m-pane__heading-link,71
co-m-pane__explanation,67
co-create-route,36
form-group co-create-route__name,36
co-required,229
form-group co-create-route__hostname,36
form-group co-create-route__path,36
form-group co-create-route__service,36
form-group co-create-route__target-port,36
control-label,103
checkbox,70
co-m-resource-icon co-m-resource-persistentvolume co-m-resource-icon--lg,5
co-m-page__body co-m-PersistentVolume,5
co-m-resource-icon co-m-resource-persistentvolumeclaim co-m-resource-icon--lg,30
co-m-page__body co-m-PersistentVolumeClaim,30
co-text-persistentvolumeclaim,18
co-m-resource-icon co-m-resource-apimanager,36
mtk22 detected-link,114
control-label co-required,107
co-form-subsection,89
co-storage-class-dropdown,33
radio-inline,36
radio-inline co-disabled,66
form-checkbox,34
odc-pipeline-builder-page,34
pf-l-stack odc-pipeline-builder-form,34
pf-l-stack__item,34
odc-pipeline-builder-header,34
pf-l-flex odc-pipeline-builder-header__content,34
pf-m-grow,34
odc-pipeline-builder-header__title,34
pf-l-stack__item pf-m-fill odc-pipeline-builder-form__content,34
pf-c-form odc-pipeline-builder-form__grid,34
odc-pipeline-builder-form__short-section,34
odc-pipeline-topology-graph,42
topology-visualization-surface,42
topology-visualization-surface__svg,42
odc-task-list-node,34
odc-task-list-node__trigger-background,34
pf-c-button pf-m-control odc-task-list-node__trigger,34
odc-multi-column-field__empty-message,77
odc-sidebar odc-sidebar__content,34
cdr squiggly-warning,541
visible scrollbar horizontal,151
visible scrollbar vertical,149
co-m-resource-icon co-m-resource-clustertask co-m-resource-icon--lg,17
co-m-page__body co-m-tekton.dev~v1alpha1~ClusterTask,17
co-m-resource-icon co-m-resource-config,15
row-filter__box row-filter__box--empty,546
co-m-resource-icon co-m-resource-silence,2
monitoring-label-list,2
co-text-silence,4
col-sm-3 col-xs-4 co-break-word,2
co-m-resource-icon co-m-resource-alert co-m-resource-icon--lg,3
col-sm-12,6
co-m-resource-icon co-m-resource-alertrule,3
co-m-resource-icon co-m-resource-machine co-m-resource-icon--lg,15
co-m-page__body co-m-machine.openshift.io~v1beta1~Machine,15
co-text-machine,32
pf-c-list co-detail-property-list,6
co-detail-property-list__item-title,18
co-m-resource-icon co-m-resource-node co-m-resource-icon--lg,4
co-m-page__body co-m-Node,4
col-md-12 col-lg-4,268
pf-c-chart,436
col-md-6 col-xs-12,2
co-text-node,13
text-capitalize,1
text-uppercase,1
table table--layout-fixed,83
col-sm-10 col-xs-9,1
col-sm-2 col-xs-3,10
co-clusterserviceversion-link,53
co-clusterserviceversion-logo,299
co-clusterserviceversion-logo__icon,299
co-catalog-item-icon__img co-catalog-item-icon__img--large,299
co-clusterserviceversion-logo__name,299
co-clusterserviceversion-logo__name__clusterserviceversion,299
co-clusterserviceversion-logo__name__provider text-muted,292
co-clusterserviceversion-row__status,53
pf-m-hidden pf-m-visible-on-sm pf-u-w-16-on-lg pf-c-table__sort,120
pf-m-hidden pf-m-visible-on-sm pf-u-w-16-on-lg,509
co-text-deployment,185
co-m-requirement,446
co-m-requirement__link co-text-pod,340
co-m-requirement__icon co-icon-flex-child,446
co-m-requirement__label,446
pf-m-hidden pf-m-visible-on-lg pf-u-w-10-on-lg pf-u-w-8-on-xl pf-c-table__sort,184
pf-m-hidden pf-m-visible-on-2xl pf-u-w-8-on-2xl pf-c-table__sort,184
pf-m-hidden pf-c-table__sort,368
pf-m-hidden pf-m-visible-on-2xl pf-u-w-10-on-2xl pf-c-table__sort,184
pf-m-hidden pf-m-visible-on-lg pf-u-w-10-on-lg pf-u-w-8-on-xl,318
pf-m-hidden pf-m-visible-on-2xl pf-u-w-8-on-2xl,318
co-m-resource-icon co-m-resource-replicaset,430
pf-m-hidden,636
pf-m-hidden pf-m-visible-on-2xl pf-u-w-10-on-2xl,318
co-m-resource-icon co-m-resource-configmap,293
co-text-replicaset,449
graph-bar__label,77
graph-bar__chart,77
co-m-resource-icon co-m-resource-machineset co-m-resource-icon--lg,14
co-m-page__body co-m-machine.openshift.io~v1beta1~MachineSet,14
co-detail-table,60
co-detail-table__section,18
co-detail-table__section co-detail-table__section--last,6
co-text-machineset,4
co-m-requirement__link co-text-machine.openshift.io~v1beta1~machine,4
co-m-resource-icon co-m-resource-machineconfig co-m-resource-icon--lg,28
co-m-page__body co-m-machineconfiguration.openshift.io~v1~MachineConfig,28
co-text-machineconfig,8
co-m-resource-icon co-m-resource-controllerconfig,5
co-m-resource-icon co-m-resource-image,4
co-m-resource-icon co-m-resource-machineconfigpool co-m-resource-icon--lg,5
co-m-page__body co-m-machineconfiguration.openshift.io~v1~MachineConfigPool,5
co-text-machineconfigpool,3
co-m-requirement__link co-text-machineconfiguration.openshift.io~v1~machineconfig,2
co-m-resource-icon co-m-resource-user co-m-resource-icon--lg,3
co-m-page__body co-m-user.openshift.io~v1~User,3
co-m-resource-icon co-m-resource-serviceaccount co-m-resource-icon--lg,298
co-m-page__body co-m-ServiceAccount,298
co-m-pane__body co-m-pane__body--section-heading,154
co-m-pane__body-group co-m-pane__form,29
co-form-section__label,88
radio,91
